protest_id,protest_location,protest_start,protest_end,protest_subject,protest_participants,protest_time,protest_description,protest_urls
6979,"Akron,OH","Monday,July11,2022",,"Subject(s):JaylandWalker,Local-Government-AkronCityCouncil,Local-LawEnforcement-AkronPoliceDepartment(APD)",Participant(s):100,Time:Evening,Description:Priorto&duringcitycouncilmeeting,Source(s):##https://www.beaconjournal.com/story/news/2022/07/12/jayland-walker-akron-councilman-questions-protests-allowed-despite-threats-city-hall/10035448002/##https://twitter.com/AbbeyMarshall/status/1546633933726564357##(thread)
6972,"Dayton,OH","Sunday,July10,2022",,"Subject(s):JaylandWalker,Outside-LawEnforcement-AkronPoliceDepartment(APD),General-PoliceBrutality",Participant(s):Dozens,Time:Evening,Description:AtRiverScapepavilion,Source(s):##https://www.whio.com/news/local/jayland-walker-killing-dayton-area-gathers-remember-akron-man-shot-by-police/5NLLYSXZGZGJZCXWPVGXNDUDBA/##https://twitter.com/DSA_Dayton/status/1545868558185422851
6973,"St.Louis,MO","Saturday,July9,2022",,"Subject(s):JaylandWalker,Outside-LawEnforcement-AkronPoliceDepartment(APD)",Participant(s):50+(est.),Time:Evening,Description:Nodetailsincludedforthisdemonstration.,Source(s):##https://www.ksdk.com/article/news/st-louis-protest-jayland-walker/63-e5879d90-56c2-447b-b786-f46ec8b7bddd
6971,"Akron,OH","Saturday,July9,2022",,"Subject(s):JaylandWalker,Local-LawEnforcement-AkronPoliceDepartment(APD)",Participant(s):200,Time:Afternoon,Description:Speakersincl.TamirRice'smotherSamariaRice,Source(s):##https://spectrumnews1.com/oh/columbus/news/2022/07/10/akron-rally-for-jayland-walker-peaceful--
6975,"Akron,OH","Friday,July8,2022",,"Subject(s):JaylandWalker,Local-LawEnforcement-AkronPoliceDepartment(APD)",Participant(s):300,Time:Evening,"Description:Incl.""glowvigil""whereattendeesheldelectroniclightingdevicesinsteadoftraditionalcandles",Source(s):##https://www.beaconjournal.com/story/news/2022/07/08/hundreds-gather-akron-vigil-jayland-walkers-life/7815819001/##https://www.news5cleveland.com/news/local-news/akron-canton-news/jayland-walker/protest-and-glow-vigil-being-held-friday-night-for-jayland-walker-in-akron
6974,"Pittsburgh,PA","Friday,July8,2022",,"Subject(s):JaylandWalker,Local-LawEnforcement-AkronPoliceDepartment(APD)",Participant(s):200+,Time:Evening,Description:Nodetailsincludedforthisdemonstration.,Source(s):##https://www.post-gazette.com/news/crime-courts/2022/07/08/jayland-walker-protest-akron-police-downtown-pittsburgh/stories/202207080128##https://twitter.com/JesseBunch_/status/1545542923084873732##https://twitter.com/ThompsonFoto12/status/1545533826826485760##https://twitter.com/PGHAbortionDC/status/1544316919750316034
6976,"Akron,OH","Thursday,July7,2022",,"Subject(s):JaylandWalker,Local-LawEnforcement-AkronPoliceDepartment(APD),Local-Government-DeputyMayorForPublicSafety-CharlesBrown",Participant(s):100+(est.),Time:Evening,Description:Incl.carcaravanthroughcity&picketoutsideBrown'shouse,Source(s):##https://www.beaconjournal.com/story/news/local/2022/07/08/some-arrests-made-akron-after-protesters-form-car-procession-jayland-walker-police-shooting/10008730002/##https://www.cleveland19.com/2022/07/08/about-50-jayland-walker-protesters-vehicles-blocked-roads-akron-police-say/
6970,"Akron,OH","Wednesday,July6,2022","-Thursday,July7,2022","Subject(s):JaylandWalker,Local-LawEnforcement-AkronPoliceDepartment(APD)",Participant(s):40-100,Time:Evening-Morning,Description:Nodetailsincludedforthisdemonstration.,Source(s):##https://www.news5cleveland.com/news/local-news/akron-canton-news/jayland-walker/everything-we-know-about-about-the-protests-in-akron-wednesday-night##https://twitter.com/Yoly_Loy/status/1544886202624606215##https://twitter.com/Nessa_Sucks/status/1544883048029757446##https://twitter.com/FamilysSoupTV/status/1544887665027342336##https://twitter.com/STPAkron/status/1544844177778921473##https://www.instagram.com/p/CfuKJZ-AQ3G/?hl=en##(begins##with##video##of##officer##repeatedly##punching##man##in##face)##https://www.beaconjournal.com/story/news/2022/07/07/jayland-walker-akron-police-arrest-protesters-jacob-blake-bianca-taylor/7827915001/
6978,"NewYork,NY","Wednesday,July6,2022",,"Subject(s):JaylandWalker,Outside-LawEnforcement-AkronPoliceDepartment(APD)",Participant(s):100+,Time:Evening,Description:Nodetailsincludedforthisdemonstration.,Source(s):##https://www.brooklynpaper.com/jayland-walker-protest-barclays/##https://twitter.com/TheIndypendent/status/1545126149675978752##https://twitter.com/DOI_OIGNYPD/status/1546557265590849536##https://twitter.com/DOI_OIGNYPD/status/1546557265590849536##https://www.audacy.com/1010wins/news/local/jayland-walker-march-shuts-down-brooklyn-bridge&lt;/a&gt;</a>
6977,"Chicago,IL","Wednesday,July6,2022","-Tuesday,July5,2022","Subject(s):JaylandWalker,Outside-LawEnforcement-AkronPoliceDepartment(APD),Local-LawEnforcement-ChicagoPoliceDepartment(CPD),Local-PoliceBrutality,General-PoliceBrutality",Participant(s):75-100(est.),Time:Evening,Description:Nodetailsincludedforthisdemonstration.,Source(s):##https://twitter.com/irviniibarra/status/1544840368646234112##https://twitter.com/GKMC18/status/1545036276004491264##https://blockclubchicago.org/2022/07/05/chicagoans-to-protest-police-killing-of-jayland-walker-unarmed-man-shot-by-akron-cops-more-than-60-times/##https://www.facebook.com/events/405643104863290
